epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1136.41,1.25505,1.60892,0.83734,0.97675,1,0.995,0.64424,1.00743,1.36079,0.89649,0.0010364,0.0010364,0.0010364
75,1151.65,1.42562,1.55954,0.83727,0.99259,1,0.995,0.66238,1.01829,1.29561,0.89943,0.0010232,0.0010232,0.0010232
76,1166.51,1.30072,1.50947,0.87998,0.993,1,0.995,0.66753,1.01292,1.23972,0.89381,0.00101,0.00101,0.00101
77,1180.51,1.35435,1.45178,0.84853,0.993,1,0.995,0.66753,1.01292,1.23972,0.89381,0.0009968,0.0009968,0.0009968
78,1195.12,1.28485,1.49201,0.87417,0.99731,1,0.995,0.67289,1.02165,1.30143,0.88557,0.0009836,0.0009836,0.0009836
79,1209.77,1.33553,1.48881,0.83356,0.99815,1,0.995,0.66367,1.03432,1.22361,0.89065,0.0009704,0.0009704,0.0009704
80,1224.5,1.49313,1.83539,0.95853,0.99625,1,0.995,0.65037,1.02634,1.201,0.89701,0.0009572,0.0009572,0.0009572
81,1239.48,1.28745,1.47841,0.82604,0.99625,1,0.995,0.65037,1.02634,1.201,0.89701,0.000944,0.000944,0.000944
82,1254.17,1.3248,1.70358,0.83447,0.99407,1,0.995,0.66018,1.03819,1.25209,0.89638,0.0009308,0.0009308,0.0009308
83,1269.09,1.27464,1.42893,0.87661,0.99151,1,0.995,0.64674,1.14174,1.30109,0.89555,0.0009176,0.0009176,0.0009176
84,1283.72,1.11727,1.33123,0.82178,0.99351,1,0.995,0.61053,1.12085,1.3178,0.89504,0.0009044,0.0009044,0.0009044
85,1298.47,1.14524,1.37809,0.8387,0.99351,1,0.995,0.61053,1.12085,1.3178,0.89504,0.0008912,0.0008912,0.0008912
86,1313.32,1.36175,1.434,0.85343,0.99914,1,0.995,0.62457,1.02428,1.26457,0.89198,0.000878,0.000878,0.000878
